-300.975;-1841.03;-89;99.9944
-300.971;-1841.25;-89;99.9609
-300.966;-1841.53;-89;99.8988
-300.961;-1841.8;-88.9998;99.822
-300.957;-1842.08;-88.9996;99.7348
-300.952;-1842.36;-88.9994;99.6402
-300.947;-1842.63;-88.9991;99.54
-300.942;-1842.91;-88.999;99.4373
-300.937;-1843.19;-88.999;99.3332
-300.932;-1843.46;-88.999;99.2281
-300.928;-1843.74;-88.999;99.1231
-300.923;-1844.01;-88.9991;99.0192
-300.918;-1844.29;-88.9991;98.9168
-300.913;-1844.56;-88.9991;98.8152
-300.908;-1844.84;-88.9992;98.7153
-300.904;-1845.11;-88.9992;98.617
-300.899;-1845.38;-88.9992;98.5199
-300.894;-1845.66;-88.9993;98.4238
-300.889;-1845.93;-88.9993;98.3288
-300.885;-1846.2;-88.9994;98.2351
-300.88;-1846.48;-88.9994;98.1423
-300.875;-1846.75;-88.9994;98.0505
-300.87;-1847.02;-88.9994;97.9589
-300.866;-1847.29;-88.9994;97.8679
-300.861;-1847.56;-88.9995;97.7776
-300.856;-1847.84;-88.9995;97.6874
-300.851;-1848.11;-88.9995;97.5973
-300.847;-1848.38;-88.9995;97.5075
-300.842;-1848.65;-88.9995;97.4173
-300.837;-1848.92;-88.9995;97.3271
-300.832;-1849.19;-88.9995;97.237
-300.828;-1849.46;-88.9996;97.1471
-300.823;-1849.73;-88.9996;97.0568
-300.818;-1850;-88.9996;96.967
-300.814;-1850.27;-88.9996;96.8769
-300.809;-1850.54;-88.9996;96.7869
-300.804;-1850.8;-88.9997;96.697
-300.8;-1851.07;-88.9997;96.6074
-300.795;-1851.34;-88.9997;96.5185
-300.79;-1851.61;-88.9997;96.4294
-300.786;-1851.88;-88.9998;96.3406
-300.781;-1852.14;-88.9998;96.2521
-300.776;-1852.41;-88.9998;96.164
-300.772;-1852.68;-88.9999;96.0763
-300.767;-1852.95;-88.9999;95.989
-300.762;-1853.21;-88.9999;95.902
-300.758;-1853.48;-89;95.8154
-300.753;-1853.74;-89;95.7292
-300.748;-1854.01;-89.0001;95.6433
-300.744;-1854.28;-89.0001;95.5577
-300.739;-1854.54;-89.0002;95.4725
-300.734;-1854.81;-89.0002;95.3877
-300.73;-1855.07;-89.0003;95.3031
-300.725;-1855.33;-89.0003;95.2189
-300.721;-1855.6;-89.0004;95.135
-300.716;-1855.86;-89.0004;95.0514
-300.711;-1856.13;-89.0005;94.9678
-300.707;-1856.39;-89.0005;94.8847
-300.702;-1856.65;-89.0006;94.802
-300.698;-1856.92;-89.0006;94.7192
-300.693;-1857.18;-89.0007;94.6372
-300.688;-1857.44;-89.0007;94.5554
-300.684;-1857.71;-89.0008;94.474
-300.679;-1857.97;-89.0008;94.3926
-300.675;-1858.23;-89.0009;94.3115
-300.67;-1858.49;-89.0009;94.2309
-300.666;-1858.75;-89.001;94.15
-300.661;-1859.01;-89.0011;94.07
-300.656;-1859.28;-89.0011;93.9902
-300.652;-1859.54;-89.0012;93.9103
-300.647;-1859.8;-89.0012;93.831
-300.643;-1860.06;-89.0013;93.7517
-300.638;-1860.32;-89.0014;93.673
-300.634;-1860.58;-89.0015;93.5946
-300.629;-1860.84;-89.0015;93.5159
-300.625;-1861.1;-89.0016;93.4378
-300.62;-1861.36;-89.0017;93.3602
-300.616;-1861.62;-89.0017;93.2829
-300.611;-1861.88;-89.0018;93.2051
-300.607;-1862.13;-89.0019;93.1277
-300.602;-1862.39;-89.002;93.0507
-300.598;-1862.65;-89.002;92.9732
-300.593;-1862.91;-89.0021;92.8958
-300.589;-1863.17;-89.0022;92.8189
-300.584;-1863.42;-89.0022;92.7421
-300.58;-1863.68;-89.0023;92.6649
-300.575;-1863.94;-89.0024;92.5876
-300.571;-1864.2;-89.0024;92.5109
-300.566;-1864.45;-89.0025;92.4339
-300.562;-1864.71;-89.0026;92.3566
-300.557;-1864.97;-89.0027;92.28
-300.553;-1865.22;-89.0027;92.2032
-300.548;-1865.48;-89.0028;92.1261
-300.544;-1865.73;-89.0029;92.0494
-300.54;-1865.99;-89.003;91.973
-300.535;-1866.24;-89.003;91.8963
-300.531;-1866.5;-89.0031;91.8193
-300.526;-1866.75;-89.0032;91.7428
-300.522;-1867.01;-89.0032;91.6664
-300.517;-1867.26;-89.0033;91.5895
-300.513;-1867.52;-89.0034;91.513
-300.508;-1867.77;-89.0035;91.4368
-300.504;-1868.03;-89.0035;91.36
-300.5;-1868.28;-89.0036;91.2835
-300.495;-1868.53;-89.0037;91.2074
-300.491;-1868.79;-89.0037;91.1313
-300.486;-1869.04;-89.0038;91.0547
-300.482;-1869.29;-89.0039;90.9783
-300.478;-1869.54;-89.004;90.9023
-300.473;-1869.8;-89.004;90.8259
-300.469;-1870.05;-89.0041;90.7495
-300.464;-1870.3;-89.0042;90.6736
-300.46;-1870.55;-89.0042;90.5974
-300.456;-1870.8;-89.0043;90.521
-300.451;-1871.06;-89.0044;90.4452
-300.447;-1871.31;-89.0045;90.3695
-300.443;-1871.56;-89.0045;90.2934
-300.438;-1871.81;-89.0046;90.2171
-300.434;-1872.06;-89.0047;90.1415
-300.43;-1872.31;-89.0047;90.0657
-300.425;-1872.56;-89.0048;89.9895
-300.421;-1872.81;-89.0049;89.9139
-300.417;-1873.06;-89.0049;89.8383
-300.412;-1873.31;-89.005;89.7622
-300.408;-1873.56;-89.0051;89.6865
-300.404;-1873.81;-89.0052;89.6111
-300.399;-1874.05;-89.0052;89.5356
-300.395;-1874.3;-89.0053;89.4595
-300.391;-1874.55;-89.0054;89.3842
