Time;CoG position/X;CoG position/Y;CoG position/Yaw;
s;m;m;°;
0;-303.349;-1864.79;-88.9289;
0;-303.342;-1865.16;-88.9315;
0;-303.335;-1865.53;-88.9395;
0;-303.328;-1865.9;-88.9565;
0;-303.322;-1866.27;-88.9805;
0;-303.315;-1866.64;-89.0108;
0;-303.309;-1867.01;-89.049;
0;-303.303;-1867.38;-89.0962;
0;-303.296;-1867.75;-89.1498;
0;-303.291;-1868.12;-89.2086;
0;-303.285;-1868.49;-89.2722;
0;-303.279;-1868.87;-89.3406;
0;-303.274;-1869.24;-89.4124;
0;-303.269;-1869.62;-89.4868;
0;-303.265;-1869.99;-89.5633;
0;-303.26;-1870.37;-89.6413;
0;-303.256;-1870.75;-89.7205;
0;-303.252;-1871.13;-89.8007;
0;-303.249;-1871.5;-89.8811;
0;-303.246;-1871.88;-89.961;
0;-303.243;-1872.26;-90.0408;
0;-303.241;-1872.64;-90.1204;
0;-303.239;-1873.02;-90.1991;
0;-303.237;-1873.41;-90.2762;
0;-303.236;-1873.79;-90.3523;
0;-303.235;-1874.17;-90.4276;
0;-303.234;-1874.56;-90.5012;
0;-303.234;-1874.94;-90.5727;
0;-303.235;-1875.32;-90.6418;
0;-303.235;-1875.71;-90.7086;
0;-303.236;-1876.09;-90.7832;
0;-303.237;-1876.48;-90.8703;
0;-303.239;-1876.87;-90.9588;
0;-303.24;-1877.25;-91.0476;
0;-303.242;-1877.64;-91.1347;
0;-303.244;-1878.03;-91.2134;
0;-303.246;-1878.41;-91.2828;
0;-303.249;-1878.8;-91.3522;
0;-303.252;-1879.19;-91.4212;
0;-303.255;-1879.58;-91.4856;
0;-303.26;-1879.97;-91.5448;
0;-303.264;-1880.36;-91.5987;
0;-303.269;-1880.75;-91.6471;
0;-303.275;-1881.14;-91.6897;
0;-303.281;-1881.54;-91.7285;
0;-303.287;-1881.93;-91.7645;
0;-303.294;-1882.32;-91.7977;
0;-303.301;-1882.72;-91.8279;
0;-303.309;-1883.11;-91.856;
0;-303.317;-1883.51;-91.8823;
0;-303.325;-1883.9;-91.9067;
0;-303.334;-1884.3;-91.9289;
0;-303.343;-1884.7;-91.9494;
0;-303.353;-1885.1;-91.9686;
0;-303.362;-1885.5;-91.9862;
0;-303.373;-1885.9;-92.002;
0;-303.383;-1886.3;-92.0165;
0;-303.394;-1886.7;-92.0299;
0;-303.405;-1887.1;-92.042;
0;-303.416;-1887.5;-92.0523;
0;-303.427;-1887.9;-92.0615;
0;-303.439;-1888.31;-92.0697;
0;-303.451;-1888.71;-92.0777;
0;-303.463;-1889.12;-92.0857;
0;-303.475;-1889.52;-92.0939;
0;-303.488;-1889.93;-92.1021;
0;-303.501;-1890.33;-92.11;
0;-303.514;-1890.74;-92.1174;
0;-303.527;-1891.15;-92.1244;
0;-303.54;-1891.56;-92.1322;
0;-303.554;-1891.97;-92.1558;
0;-303.568;-1892.38;-92.2066;
0;-303.582;-1892.79;-92.2766;
0;-303.597;-1893.2;-92.3621;
0;-303.612;-1893.61;-92.4555;
0;-303.628;-1894.02;-92.5524;
0;-303.644;-1894.43;-92.6514;
0;-303.661;-1894.85;-92.7514;
0;-303.677;-1895.26;-92.8439;
0;-303.695;-1895.67;-92.9226;
