Time;Speed/X;
s;km/h;
0;99.9944;
0;99.9614;
0;99.9424;
0;99.8044;
0;99.5104;
0;99.2469;
0;99.0004;
0;98.7557;
0;98.5028;
0;98.2351;
0;97.9462;
0;97.6384;
0;97.3128;
0;96.9707;
0;96.6126;
0;96.2489;
0;95.9041;
0;95.6118;
0;95.3666;
0;95.126;
0;94.8773;
0;94.6511;
0;94.6518;
0;94.859;
0;94.8791;
0;94.8785;
0;94.9063;
0;94.9472;
0;94.9959;
0;95.0523;
0;95.1227;
0;95.2097;
0;95.3023;
0;95.3292;
0;95.4212;
0;95.6816;
0;95.9699;
0;96.2676;
0;96.5717;
0;96.8784;
0;97.1862;
0;97.4943;
0;97.8026;
0;98.1109;
0;98.4193;
0;98.7278;
0;99.0361;
0;99.3441;
0;99.6517;
0;99.9587;
0;100.265;
0;100.571;
0;100.877;
0;101.182;
0;101.487;
0;101.793;
0;102.098;
0;102.403;
0;102.708;
0;103.014;
0;103.32;
0;103.626;
0;103.933;
0;104.24;
0;104.547;
0;104.855;
0;105.164;
0;105.472;
0;105.781;
0;106.091;
0;106.4;
0;106.71;
0;107.02;
0;107.33;
0;107.641;
0;107.951;
0;108.262;
0;108.572;
0;108.883;
0;109.193;
0;109.502;
0;109.811;
0;110.12;
0;110.428;
0;110.735;
0;111.042;
0;111.349;
0;111.654;
0;111.959;
0;112.264;
0;112.568;
0;112.871;
0;113.174;
0;113.476;
0;113.778;
0;114.079;
0;114.379;
0;114.679;
0;114.978;
0;115.276;
0;115.574;
0;115.871;
0;116.168;
0;116.464;
0;116.759;
0;117.054;
0;117.349;
0;117.642;
0;117.935;
0;118.228;
0;118.52;
0;118.811;
0;119.101;
0;119.391;
0;119.68;
0;119.969;
0;120.257;
0;120.544;
0;120.83;
0;121.116;
0;121.401;
0;121.686;
0;121.97;
0;122.253;
0;122.536;
0;122.818;
0;123.099;
0;123.38;
0;123.66;
0;123.939;
0;124.218;
0;124.496;
0;124.773;
0;125.05;
0;125.326;
0;125.602;
0;125.877;
0;126.151;
0;126.425;
0;126.697;
0;126.969;
0;127.241;
0;127.511;
0;127.78;
0;128.049;
0;128.317;
0;128.584;
0;128.85;
0;129.116;
0;129.381;
0;129.645;
0;129.908;
0;130.17;
0;130.431;
0;130.692;
0;130.951;
0;131.21;
0;131.467;
0;131.724;
0;131.979;
0;132.233;
0;132.486;
0;132.738;
0;132.989;
0;133.238;
0;133.486;
0;133.733;
0;133.978;
0;134.223;
0;134.466;
0;134.708;
0;134.949;
0;135.189;
0;135.427;
0;135.664;
0;135.901;
0;136.136;
0;136.37;
0;136.603;
0;136.836;
0;137.067;
0;137.298;
0;137.528;
0;137.758;
0;137.986;
0;138.214;
0;138.43;
0;138.539;
0;138.677;
0;138.97;
0;139.018;
0;139.061;
0;139.13;
0;139.221;
0;139.299;
0;139.413;
0;139.66;
0;139.943;
0;140.215;
0;140.476;
0;140.726;
0;140.969;
0;141.207;
0;141.441;
0;141.674;
0;141.906;
0;142.138;
0;142.369;
0;142.601;
0;142.832;
0;143.063;
0;143.294;
0;143.525;
0;143.755;
0;143.986;
0;144.217;
0;144.447;
0;144.677;
0;144.908;
0;145.138;
0;145.368;
0;145.598;
0;145.829;
0;146.059;
0;146.289;
0;146.519;
0;146.749;
0;146.979;
0;147.211;
0;147.439;
0;147.665;
0;147.889;
0;148.113;
0;148.338;
0;148.564;
0;148.79;
0;149.016;
0;149.243;
0;149.469;
0;149.696;
0;149.923;
0;150.151;
0;150.378;
0;150.605;
0;150.833;
0;151.06;
0;151.287;
0;151.513;
0;151.74;
0;151.966;
0;152.19;
0;152.415;
0;152.638;
0;152.86;
0;153.082;
0;153.303;
0;153.523;
0;153.742;
0;153.961;
0;154.179;
0;154.396;
0;154.612;
0;154.828;
0;155.043;
0;155.257;
0;155.471;
0;155.685;
0;155.898;
0;156.111;
0;156.323;
0;156.536;
0;156.749;
0;156.961;
0;157.174;
0;157.387;
0;157.6;
0;157.813;
0;158.027;
0;158.24;
0;158.453;
0;158.667;
0;158.88;
0;159.094;
0;159.307;
0;159.521;
0;159.734;
0;159.947;
0;160.16;
0;160.373;
0;160.586;
0;160.798;
0;161.01;
