Time;Speed/X;
s;km/h;
0;109.994;
0;109.962;
0;109.94;
0;109.801;
0;109.522;
0;109.286;
0;109.076;
0;108.876;
0;108.675;
0;108.465;
0;108.237;
0;107.994;
0;107.737;
0;107.467;
0;107.182;
0;106.886;
0;106.58;
0;106.263;
0;105.937;
0;105.607;
0;105.278;
0;104.956;
0;104.646;
0;104.35;
0;104.077;
0;103.841;
0;103.66;
0;103.511;
0;103.373;
0;103.233;
0;103.138;
0;103.193;
0;103.147;
0;103.06;
0;102.982;
0;102.903;
0;102.813;
0;102.705;
0;102.59;
0;102.476;
0;102.43;
0;102.304;
0;102.292;
0;102.408;
0;102.528;
0;102.457;
0;102.467;
0;102.614;
0;102.809;
0;103.032;
0;103.281;
0;103.55;
0;103.798;
0;103.835;
0;103.908;
0;104.15;
0;104.444;
0;104.762;
0;105.096;
0;105.437;
0;105.779;
0;106.12;
0;106.456;
0;106.787;
0;107.113;
0;107.434;
0;107.75;
0;108.061;
0;108.369;
0;108.672;
0;108.972;
0;109.269;
0;109.562;
0;109.854;
0;110.142;
0;110.428;
0;110.71;
0;110.99;
0;111.269;
0;111.546;
0;111.821;
0;112.095;
0;112.369;
0;112.643;
0;112.915;
0;113.187;
0;113.458;
0;113.729;
0;113.999;
0;114.269;
0;114.539;
0;114.809;
0;115.079;
0;115.349;
0;115.621;
0;115.892;
0;116.164;
0;116.437;
0;116.711;
0;116.985;
0;117.258;
0;117.533;
0;117.809;
0;118.086;
0;118.364;
0;118.643;
0;118.924;
0;119.207;
0;119.49;
0;119.776;
0;120.064;
0;120.355;
0;120.646;
0;120.94;
0;121.237;
0;121.536;
0;121.837;
0;122.139;
0;122.444;
0;122.75;
0;123.057;
0;123.365;
0;123.673;
0;123.981;
0;124.288;
0;124.594;
0;124.899;
0;125.201;
0;125.501;
0;125.799;
0;126.093;
0;126.385;
0;126.675;
0;126.962;
0;127.246;
0;127.528;
0;127.809;
0;128.087;
0;128.363;
0;128.638;
0;128.911;
0;129.183;
0;129.454;
0;129.723;
0;129.991;
0;130.259;
0;130.522;
0;130.778;
0;131.035;
0;131.289;
0;131.539;
0;131.785;
0;132.026;
0;132.262;
0;132.493;
0;132.72;
0;132.943;
0;133.162;
0;133.374;
0;133.581;
0;133.782;
0;133.979;
0;134.17;
0;134.357;
0;134.538;
0;134.717;
0;134.891;
0;135.061;
0;135.226;
0;135.388;
0;135.544;
0;135.646;
0;135.742;
0;135.935;
0;135.96;
0;135.969;
0;135.972;
0;135.949;
0;135.898;
0;135.826;
0;135.786;
0;135.823;
0;135.9;
0;135.986;
0;136.076;
0;136.168;
0;136.263;
0;136.356;
0;136.444;
0;136.533;
0;136.622;
0;136.708;
0;136.791;
0;136.877;
0;136.969;
0;137.063;
0;137.128;
0;137.008;
0;136.947;
0;136.976;
0;137.054;
0;137.023;
0;137.018;
0;137.144;
0;137.341;
0;137.57;
0;137.821;
0;138.091;
0;138.38;
0;138.685;
0;139.009;
0;139.342;
0;139.673;
0;139.994;
0;140.291;
0;140.567;
0;140.828;
0;141.088;
0;141.343;
0;141.593;
0;141.836;
0;142.074;
0;142.309;
0;142.541;
0;142.772;
0;142.996;
0;143.215;
0;143.434;
0;143.652;
0;143.866;
0;144.07;
0;144.271;
0;144.468;
0;144.661;
0;144.847;
0;145.03;
0;145.209;
0;145.384;
0;145.554;
0;145.719;
0;145.883;
0;146.043;
0;146.201;
0;146.357;
0;146.481;
0;146.367;
0;146.248;
0;146.257;
0;146.323;
0;146.418;
0;146.534;
0;146.62;
0;146.52;
0;146.402;
0;146.424;
0;146.501;
0;146.606;
0;146.731;
0;146.871;
0;146.979;
0;146.903;
0;146.804;
0;146.845;
0;146.944;
0;147.072;
0;147.22;
0;147.385;
0;147.561;
0;147.745;
0;147.936;
0;148.133;
0;148.335;
0;148.54;
0;148.75;
0;148.964;
0;149.182;
0;149.403;
0;149.628;
0;149.857;
0;150.089;
0;150.324;
0;150.562;
0;150.804;
0;151.048;
0;151.295;
0;151.545;
0;151.796;
0;152.05;
0;152.305;
0;152.56;
0;152.815;
0;153.069;
0;153.322;
0;153.572;
0;153.818;
0;154.062;
0;154.302;
0;154.539;
0;154.773;
