Time;CoG position/X;CoG position/Y;CoG position/Yaw;
s;m;m;°;
0;-300.518;-1866.38;-91.4608;
0;-300.521;-1866.75;-91.7517;
0;-300.525;-1867.12;-92.0502;
0;-300.53;-1867.49;-92.356;
0;-300.537;-1867.86;-92.6685;
0;-300.544;-1868.24;-92.9876;
0;-300.553;-1868.61;-93.3119;
0;-300.562;-1868.99;-93.6412;
0;-300.574;-1869.36;-93.9756;
0;-300.586;-1869.74;-94.3151;
0;-300.599;-1870.11;-94.6579;
0;-300.614;-1870.49;-95.0037;
0;-300.63;-1870.87;-95.3486;
0;-300.648;-1871.24;-95.6838;
0;-300.667;-1871.62;-96.0387;
0;-300.687;-1872;-96.4353;
0;-300.707;-1872.38;-96.8431;
0;-300.728;-1872.75;-97.2583;
0;-300.749;-1873.13;-97.6733;
0;-300.772;-1873.51;-98.0764;
0;-300.795;-1873.89;-98.4594;
0;-300.82;-1874.27;-98.825;
0;-300.846;-1874.64;-99.1942;
0;-300.874;-1875.02;-99.5806;
0;-300.904;-1875.4;-99.98;
0;-300.935;-1875.78;-100.388;
0;-300.967;-1876.16;-100.798;
0;-301.002;-1876.54;-101.205;
0;-301.037;-1876.91;-101.61;
0;-301.075;-1877.29;-102.013;
0;-301.114;-1877.67;-102.41;
0;-301.154;-1878.05;-102.798;
0;-301.197;-1878.43;-103.181;
0;-301.241;-1878.81;-103.56;
0;-301.286;-1879.19;-103.928;
0;-301.333;-1879.57;-104.28;
0;-301.382;-1879.95;-104.62;
0;-301.432;-1880.34;-104.949;
0;-301.483;-1880.72;-105.245;
0;-301.536;-1881.1;-105.411;
0;-301.589;-1881.48;-105.488;
0;-301.643;-1881.86;-105.472;
0;-301.698;-1882.24;-105.371;
0;-301.754;-1882.61;-105.214;
0;-301.812;-1882.99;-105.039;
0;-301.872;-1883.37;-104.853;
0;-301.932;-1883.75;-104.653;
0;-301.994;-1884.13;-104.432;
0;-302.058;-1884.51;-104.188;
0;-302.122;-1884.89;-103.92;
0;-302.187;-1885.27;-103.628;
0;-302.253;-1885.65;-103.31;
0;-302.32;-1886.03;-102.97;
0;-302.388;-1886.41;-102.61;
0;-302.456;-1886.8;-102.235;
0;-302.524;-1887.18;-101.847;
0;-302.593;-1887.56;-101.45;
0;-302.661;-1887.95;-101.051;
0;-302.73;-1888.33;-100.702;
0;-302.799;-1888.72;-100.446;
0;-302.868;-1889.11;-100.261;
0;-302.938;-1889.5;-100.131;
0;-303.008;-1889.88;-100.036;
0;-303.078;-1890.27;-99.9603;
0;-303.148;-1890.66;-99.8982;
0;-303.218;-1891.05;-99.8452;
0;-303.288;-1891.44;-99.7794;
0;-303.357;-1891.83;-99.6849;
0;-303.426;-1892.23;-99.5695;
0;-303.494;-1892.62;-99.4355;
0;-303.562;-1893.01;-99.2741;
0;-303.629;-1893.41;-99.0776;
0;-303.695;-1893.8;-98.8563;
0;-303.761;-1894.2;-98.614;
0;-303.825;-1894.59;-98.3512;
0;-303.889;-1894.99;-98.0662;
0;-303.952;-1895.39;-97.7656;
0;-304.013;-1895.79;-97.4518;
0;-304.074;-1896.19;-97.1262;
0;-304.133;-1896.59;-96.789;
0;-304.192;-1896.99;-96.444;
0;-304.249;-1897.39;-96.0923;
0;-304.305;-1897.79;-95.735;
0;-304.359;-1898.19;-95.3722;
0;-304.413;-1898.6;-95.0054;
0;-304.465;-1899;-94.6356;
0;-304.516;-1899.4;-94.2835;
0;-304.565;-1899.81;-93.982;
0;-304.613;-1900.21;-93.689;
0;-304.659;-1900.62;-93.3886;
0;-304.704;-1901.02;-93.0785;
0;-304.747;-1901.43;-92.7595;
0;-304.789;-1901.83;-92.4369;
0;-304.83;-1902.24;-92.1346;
0;-304.869;-1902.64;-91.8772;
0;-304.906;-1903.05;-91.6378;
0;-304.942;-1903.45;-91.3948;
0;-304.977;-1903.86;-91.146;
0;-305.01;-1904.27;-90.8925;
0;-305.041;-1904.68;-90.6366;
0;-305.071;-1905.08;-90.3817;
0;-305.1;-1905.49;-90.1497;
0;-305.127;-1905.9;-89.9635;
0;-305.153;-1906.31;-89.7964;
0;-305.177;-1906.72;-89.6267;
0;-305.2;-1907.12;-89.4525;
0;-305.221;-1907.53;-89.2753;
0;-305.241;-1907.94;-89.098;
0;-305.26;-1908.35;-88.9231;
0;-305.277;-1908.76;-88.7522;
0;-305.293;-1909.17;-88.5864;
0;-305.307;-1909.59;-88.4274;
0;-305.321;-1910;-88.2742;
0;-305.333;-1910.41;-88.1269;
0;-305.343;-1910.82;-87.9856;
0;-305.353;-1911.24;-87.8515;
0;-305.361;-1911.65;-87.724;
0;-305.368;-1912.07;-87.6034;
0;-305.374;-1912.48;-87.4903;
0;-305.379;-1912.9;-87.3868;
0;-305.382;-1913.32;-87.2919;
0;-305.385;-1913.74;-87.2063;
0;-305.386;-1914.16;-87.1301;
0;-305.386;-1914.57;-87.0654;
0;-305.385;-1914.99;-87.0107;
0;-305.383;-1915.41;-86.9663;
0;-305.38;-1915.84;-86.9321;
0;-305.376;-1916.26;-86.9099;
0;-305.372;-1916.68;-86.8978;
0;-305.366;-1917.1;-86.8957;
0;-305.359;-1917.53;-86.9031;
0;-305.352;-1917.95;-86.9211;
0;-305.343;-1918.38;-86.9475;
0;-305.334;-1918.8;-86.9815;
0;-305.325;-1919.23;-87.0223;
0;-305.314;-1919.66;-87.0699;
0;-305.303;-1920.08;-87.1222;
0;-305.292;-1920.51;-87.1784;
0;-305.28;-1920.94;-87.2376;
0;-305.267;-1921.37;-87.2993;
