Time;CoG position/X;CoG position/Y;CoG position/Yaw;
s;m;m;°;
0;-300.259;-1882.15;-89.0076;
0;-300.255;-1882.39;-89.0076;
0;-300.25;-1882.63;-89.0077;
0;-300.246;-1882.87;-89.0078;
0;-300.242;-1883.11;-89.0079;
0;-300.238;-1883.35;-89.0079;
0;-300.234;-1883.59;-89.008;
0;-300.23;-1883.83;-89.0081;
0;-300.225;-1884.07;-89.0081;
0;-300.221;-1884.31;-89.0082;
0;-300.217;-1884.55;-89.0083;
0;-300.213;-1884.79;-89.0083;
0;-300.209;-1885.03;-89.0084;
0;-300.205;-1885.27;-89.0085;
0;-300.201;-1885.51;-89.0086;
0;-300.196;-1885.75;-89.0086;
0;-300.192;-1885.99;-89.0087;
0;-300.188;-1886.23;-89.0088;
0;-300.184;-1886.47;-89.0088;
0;-300.18;-1886.7;-89.0089;
0;-300.176;-1886.94;-89.009;
0;-300.172;-1887.18;-89.009;
0;-300.168;-1887.42;-89.0091;
0;-300.163;-1887.65;-89.0092;
0;-300.159;-1887.89;-89.0093;
0;-300.155;-1888.13;-89.0093;
0;-300.151;-1888.36;-89.0094;
0;-300.147;-1888.6;-89.0095;
0;-300.143;-1888.84;-89.0095;
0;-300.139;-1889.07;-89.0096;
0;-300.135;-1889.31;-89.0097;
0;-300.131;-1889.54;-89.0097;
0;-300.127;-1889.78;-89.0098;
0;-300.123;-1890.01;-89.0099;
0;-300.119;-1890.25;-89.01;
0;-300.115;-1890.48;-89.01;
0;-300.11;-1890.72;-89.0101;
0;-300.106;-1890.95;-89.0102;
0;-300.102;-1891.19;-89.0102;
0;-300.098;-1891.42;-89.0103;
0;-300.094;-1891.65;-89.0104;
0;-300.09;-1891.89;-89.0104;
0;-300.086;-1892.12;-89.0105;
0;-300.082;-1892.35;-89.0106;
0;-300.078;-1892.59;-89.0107;
0;-300.074;-1892.82;-89.0107;
0;-300.07;-1893.05;-89.0108;
0;-300.066;-1893.28;-89.0109;
0;-300.062;-1893.52;-89.0109;
0;-300.058;-1893.75;-89.011;
0;-300.054;-1893.98;-89.0111;
0;-300.05;-1894.21;-89.0111;
0;-300.046;-1894.44;-89.0112;
0;-300.042;-1894.67;-89.0113;
0;-300.038;-1894.9;-89.0114;
0;-300.034;-1895.13;-89.0114;
0;-300.03;-1895.37;-89.0115;
0;-300.026;-1895.6;-89.0116;
0;-300.022;-1895.83;-89.0116;
0;-300.018;-1896.06;-89.0117;
0;-300.014;-1896.29;-89.0118;
0;-300.01;-1896.51;-89.0118;
0;-300.006;-1896.74;-89.0119;
0;-300.002;-1896.97;-89.012;
0;-299.998;-1897.2;-89.012;
0;-299.995;-1897.43;-89.0121;
0;-299.991;-1897.66;-89.0122;
0;-299.987;-1897.89;-89.0123;
0;-299.983;-1898.11;-89.0123;
0;-299.979;-1898.34;-89.0124;
0;-299.975;-1898.57;-89.0125;
0;-299.971;-1898.8;-89.0125;
0;-299.967;-1899.02;-89.0126;
0;-299.963;-1899.25;-89.0127;
0;-299.959;-1899.48;-89.0127;
0;-299.955;-1899.71;-89.0128;
0;-299.951;-1899.93;-89.0129;
0;-299.948;-1900.16;-89.0129;
0;-299.944;-1900.38;-89.013;
0;-299.94;-1900.61;-89.0131;
0;-299.936;-1900.84;-89.0131;
0;-299.932;-1901.06;-89.0132;
0;-299.928;-1901.29;-89.0133;
0;-299.924;-1901.51;-89.0133;
0;-299.92;-1901.74;-89.0134;
0;-299.916;-1901.96;-89.0135;
0;-299.913;-1902.19;-89.0136;
0;-299.909;-1902.41;-89.0136;
0;-299.905;-1902.63;-89.0137;
